"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for updating a booking partially- Patch request","53","updatePartialBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Printing numbers to words using SOAP API","529","testNumberToWordsAPI","SOAP API Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for creating new booking - Post request","2371","createBookingTest","Restful Booker Test Suite","Tue May 26 06:57:30 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for checking json schema for new booking - Post request","2252","testCreateBookingJsonSchema","Restful Booker Test Suite","Tue May 26 06:57:30 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example test for updating a booking - Put request","153","updateBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for deleting a booking - Delete request","21","deleteBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","26","testDeleteAllOrders","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:35 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for fetching token value - Post request","99","testTokenGeneration","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","41","testGetAllOrders","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for updating a booking - Put request","125","updateBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","46","testGetOrder","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for updating a booking partially- Patch request","51","updatePartialBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","54","testCreateToken","Restful ECommerce Test Suite","Tue May 26 06:57:35 UTC 2026","passed","Tue May 26 06:57:35 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","48","checkBookingIsDeleted","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for creating new booking - Post request","2388","createBookingTest","Restful Booker Test Suite","Tue May 26 06:57:30 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","43","updatePartialOrderTest","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for deleting a booking - Delete request","50","deleteBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking json schema after updating a booking - Put request","128","testUpdateBookingJsonSchema","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"","21","testGetDeletedOrder","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"","141","testCreateToken","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example test for checking json schema after getting a booking - get request","121","testGetBookingJsonSchema","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","57","testCreateJsonSchema","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","24","testDeleteOrder","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for retrieving a booking - Get request","338","getBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","22","checkBookingIsDeleted","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","75","testCreateOrder","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","44","testUpdateOrder","Restful ECommerce Test Suite","Tue May 26 06:57:34 UTC 2026","passed","Tue May 26 06:57:34 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","146","testUploadImage","Restful ECommerce Test Suite","Tue May 26 06:57:35 UTC 2026","passed","Tue May 26 06:57:35 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for retrieving a booking - Get request","234","getBookingTest","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","50","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for fetching token value - Post request","72","testTokenGeneration","Restful Booker Test Suite","Tue May 26 06:57:33 UTC 2026","passed","Tue May 26 06:57:33 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
