"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Printing numbers to words using SOAP API","841","testNumberToWordsAPI","SOAP API Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for checking json schema after getting a booking - get request","96","testGetBookingJsonSchema","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"","74","testCreateOrder","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for deleting a booking - Delete request","38","deleteBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for deleting a booking - Delete request","31","deleteBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for fetching token value - Post request","56","testTokenGeneration","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","36","testDeleteOrder","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking json schema after updating a booking - Put request","70","testUpdateBookingJsonSchema","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for fetching token value - Post request","72","testTokenGeneration","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","21","testGetDeletedOrder","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for creating new booking - Post request","2627","createBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:24 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","85","testGetOrder","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for checking json schema for token authentication - Post request","58","testCreateJsonSchema","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","51","testCreateToken","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","72","updatePartialOrderTest","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"","55","testUpdateOrder","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for checking json schema for new booking - Post request","2479","testCreateBookingJsonSchema","Restful Booker Test Suite","Thu Apr 09 12:56:24 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","38","testGetAllOrders","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for updating a booking partially- Patch request","58","updatePartialBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for updating a booking - Put request","153","updateBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","24","checkBookingIsDeleted","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for retrieving a booking - Get request","125","getBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","29","checkBookingIsDeleted","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for creating new booking - Post request","2656","createBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:24 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for updating a booking partially- Patch request","59","updatePartialBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:27 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","129","testCreateToken","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","24","testDeleteAllOrders","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","136","testUploadImage","Restful ECommerce Test Suite","Thu Apr 09 12:56:28 UTC 2026","passed","Thu Apr 09 12:56:28 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for updating a booking - Put request","147","updateBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:27 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for retrieving a booking - Get request","174","getBookingTest","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","53","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Thu Apr 09 12:56:26 UTC 2026","passed","Thu Apr 09 12:56:26 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
