"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","testCreateToken","Restful ECommerce Test Suite","Fri Jan 23 16:38:02 UTC 2026","passed","Fri Jan 23 16:38:02 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for updating a booking partially- Patch request","257","updatePartialBookingTest","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema for token authentication - Post request","247","testCreateJsonSchema","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for updating a booking - Put request","273","updateBookingTest","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for updating a booking partially- Patch request","223","updatePartialBookingTest","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","187","checkBookingIsDeleted","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","27","testDeleteOrder","Restful ECommerce Test Suite","Fri Jan 23 16:38:02 UTC 2026","passed","Fri Jan 23 16:38:02 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","146","checkBookingIsDeleted","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for creating new booking - Post request","2788","createBookingTest","Restful Booker Test Suite","Fri Jan 23 16:37:56 UTC 2026","passed","Fri Jan 23 16:37:59 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for fetching token value - Post request","251","testTokenGeneration","Restful Booker Test Suite","Fri Jan 23 16:37:59 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","159","testUploadImage","Restful ECommerce Test Suite","Fri Jan 23 16:38:02 UTC 2026","passed","Fri Jan 23 16:38:02 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for fetching token value - Post request","248","testTokenGeneration","Restful Booker Test Suite","Fri Jan 23 16:37:59 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Printing numbers to words using SOAP API","539","testNumberToWordsAPI","SOAP API Test Suite","Fri Jan 23 16:38:01 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for creating new booking - Post request","2822","createBookingTest","Restful Booker Test Suite","Fri Jan 23 16:37:56 UTC 2026","passed","Fri Jan 23 16:37:59 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for updating a booking - Put request","293","updateBookingTest","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","75","testCreateOrder","Restful ECommerce Test Suite","Fri Jan 23 16:38:01 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","156","testCreateToken","Restful ECommerce Test Suite","Fri Jan 23 16:38:01 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","44","testGetOrder","Restful ECommerce Test Suite","Fri Jan 23 16:38:01 UTC 2026","passed","Fri Jan 23 16:38:01 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for checking json schema after updating a booking partially - Patch request","186","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Fri Jan 23 16:38:00 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","34","testGetAllOrders","Restful ECommerce Test Suite","Fri Jan 23 16:38:01 UTC 2026","passed","Fri Jan 23 16:38:02 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for checking json schema after updating a booking - Put request","278","testUpdateBookingJsonSchema","Restful Booker Test Suite","Fri Jan 23 16:37:59 UTC 2026","passed","Fri Jan 23 16:38:00 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
