"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","28","checkBookingIsDeleted","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema after updating a booking - Put request","68","testUpdateBookingJsonSchema","Restful Booker Test Suite","Fri Apr 10 14:37:12 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for updating a booking - Put request","186","updateBookingTest","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for deleting a booking - Delete request","24","deleteBookingTest","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for updating a booking - Put request","198","updateBookingTest","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for retrieving a booking - Get request","223","getBookingTest","Restful Booker Test Suite","Fri Apr 10 14:37:12 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for updating a booking partially- Patch request","60","updatePartialBookingTest","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","104","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Fri Apr 10 14:37:13 UTC 2026","passed","Fri Apr 10 14:37:13 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","30","testGetAllOrders","Restful ECommerce Test Suite","Fri Apr 10 14:37:14 UTC 2026","passed","Fri Apr 10 14:37:14 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"","120","testCreateToken","Restful ECommerce Test Suite","Fri Apr 10 14:37:14 UTC 2026","passed","Fri Apr 10 14:37:14 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
