"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Rest Assured POC - Example Tests","5","Writing End to End tests using rest-assured","2","0","End to End tests using rest-assured","0"
"0","Rest Assured POC - Example Tests","1","JSON Schema Validation using rest-assured","4","0","JSON Schema Validation using rest-assured","0"
"0","Rest Assured POC - Example Tests","0","","1","0","Performing SOAP API Tests using Rest-Assured","0"
