"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","testDeleteAllOrders","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","58","testCreateToken","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","24","testDeleteOrder","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for retrieving a booking - Get request","506","getBookingTest","Restful Booker Test Suite","Mon Mar 23 11:46:51 UTC 2026","passed","Mon Mar 23 11:46:51 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for retrieving a booking - Get request","481","getBookingTest","Restful Booker Test Suite","Mon Mar 23 11:46:51 UTC 2026","passed","Mon Mar 23 11:46:51 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for fetching token value - Post request","419","testTokenGeneration","Restful Booker Test Suite","Mon Mar 23 11:46:51 UTC 2026","passed","Mon Mar 23 11:46:52 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","141","testCreateToken","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","78","testCreateOrder","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for checking json schema after updating a booking partially - Patch request","389","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Mon Mar 23 11:46:51 UTC 2026","passed","Mon Mar 23 11:46:52 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Printing numbers to words using SOAP API","615","testNumberToWordsAPI","SOAP API Test Suite","Mon Mar 23 11:46:53 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","41","testGetAllOrders","Restful ECommerce Test Suite","Mon Mar 23 11:46:54 UTC 2026","passed","Mon Mar 23 11:46:54 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for creating new booking - Post request","3008","createBookingTest","Restful Booker Test Suite","Mon Mar 23 11:46:48 UTC 2026","passed","Mon Mar 23 11:46:51 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for checking json schema after getting a booking - get request","448","testGetBookingJsonSchema","Restful Booker Test Suite","Mon Mar 23 11:46:51 UTC 2026","passed","Mon Mar 23 11:46:51 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","390","checkBookingIsDeleted","Restful Booker Test Suite","Mon Mar 23 11:46:53 UTC 2026","passed","Mon Mar 23 11:46:53 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for creating new booking - Post request","3005","createBookingTest","Restful Booker Test Suite","Mon Mar 23 11:46:48 UTC 2026","passed","Mon Mar 23 11:46:51 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for updating a booking partially- Patch request","414","updatePartialBookingTest","Restful Booker Test Suite","Mon Mar 23 11:46:52 UTC 2026","passed","Mon Mar 23 11:46:52 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
