"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema for token authentication - Post request","34","testCreateJsonSchema","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for updating a booking - Put request","87","updateBookingTest","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","46","testCreateOrder","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example Test for performing authentication using rest assured","2574","testAuthenticationToken","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestAuthentication","Authentication Tests","restful.ecommerce.TestAuthentication","testAuthenticationToken"
"","51","updatePartialOrderTest","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"","42","testGetAllOrders","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"","26","testDeleteAllOrders","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for creating new booking - Post request","152","createBookingTest","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example Test for performing Not null assertions using Hamcrest","517","testNotNullAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotNullAssertions"
"Example of using Builder Pattern to pass test data in tests","265","postTestUsingBuilderPattern","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.PostRequestBuilderExampleTest","Post Request tests","restful.ecommerce.PostRequestBuilderExampleTest","postTestUsingBuilderPattern"
"Example Test for performing String related assertions using Hamcrest","622","testStringAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testStringAssertions"
"Example Test for verifying the response headers using rest assured","31","responseHeadersTest","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestResponseHeaders","Test Response Headers","restful.ecommerce.TestResponseHeaders","responseHeadersTest"
"Example test for checking json schema after updating a booking - Put request","39","testUpdateBookingJsonSchema","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for deleting a booking - Delete request","39","deleteBookingTest","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example Test for extracting the response data using jsonpath","54","testResponseWithJsonPath","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestResponseBodyWithJsonPath","JsonPath usage tests","restful.ecommerce.TestResponseBodyWithJsonPath","testResponseWithJsonPath"
"Example Test for executing POST request using rest assured","27","testPostRequests","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestPostRequests","Post Request tests","restful.ecommerce.TestPostRequests","testPostRequests"
"Example Test for executing POST request using rest assured","32","testPostRequests","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestPostRequests","Post Request tests","restful.ecommerce.TestPostRequests","testPostRequests"
"","25","testDeleteOrder","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Testing Delete All order EndPoint","22","deleteAllOrderTests","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestDeleteRequests","Delete Requests tests","restful.ecommerce.TestDeleteRequests","deleteAllOrderTests"
"","57","testCreateToken","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example Test for performing Greater than assertions using Hamcrest","529","testGreaterThanAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testGreaterThanAssertions"
"Example test for checking json schema for new booking - Post request","724","testCreateBookingJsonSchema","Restful Booker Test Suite","2026-09-21","passed","2026-09-21","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example Test for multiple assertions in single statement using Hamcrest","272693","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-09-21","failed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example Test for executing GET request using rest assured","322","getRequestTest","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTest"
"Printing numbers to words using SOAP API","742","testNumberToWordsAPI","SOAP API Test Suite","2026-09-21","passed","2026-09-21","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example Test for executing PUT request using rest assured","57","putRequestsTests","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestPutRequests","Put Request Tests","restful.ecommerce.TestPutRequests","putRequestsTests"
"Example Test for executing GET request using awaitility","5048","testDelayedPostAPI","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestDelayedAPIWithAwaitility","Awaitility Example tests","restful.ecommerce.TestDelayedAPIWithAwaitility","testDelayedPostAPI"
