"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema for token authentication - Post request","268","testCreateJsonSchema","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","50","testCreateToken","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","154","testUploadImage","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for checking json schema for new booking - Post request","2789","testCreateBookingJsonSchema","Restful Booker Test Suite","Fri Oct 10 13:03:13 UTC 2025","passed","Fri Oct 10 13:03:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","27","testUpdateOrder","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","107","testCreateToken","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example test for creating new booking - Post request","2977","createBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:13 UTC 2025","passed","Fri Oct 10 13:03:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for fetching token value - Post request","286","testTokenGeneration","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","21","testDeleteOrder","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"","27","testGetAllOrders","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for updating a booking partially- Patch request","270","updatePartialBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema after updating a booking - Put request","254","testUpdateBookingJsonSchema","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"","12","testGetDeletedOrder","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for fetching token value - Post request","297","testTokenGeneration","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","233","checkBookingIsDeleted","Restful Booker Test Suite","Fri Oct 10 13:03:18 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","49","updatePartialOrderTest","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for deleting a booking - Delete request","265","deleteBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:18 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for deleting a booking - Delete request","270","deleteBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:18 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","11","testDeleteAllOrders","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for retrieving a booking - Get request","356","getBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:16 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","37","testGetOrder","Restful ECommerce Test Suite","Fri Oct 10 13:03:19 UTC 2025","passed","Fri Oct 10 13:03:19 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for checking json schema after updating a booking partially - Patch request","281","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","261","checkBookingIsDeleted","Restful Booker Test Suite","Fri Oct 10 13:03:18 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for retrieving a booking - Get request","359","getBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:16 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking json schema after getting a booking - get request","323","testGetBookingJsonSchema","Restful Booker Test Suite","Fri Oct 10 13:03:16 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for updating a booking - Put request","350","updateBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:17 UTC 2025","passed","Fri Oct 10 13:03:17 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for updating a booking partially- Patch request","291","updatePartialBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:18 UTC 2025","passed","Fri Oct 10 13:03:18 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for creating new booking - Post request","2976","createBookingTest","Restful Booker Test Suite","Fri Oct 10 13:03:13 UTC 2025","passed","Fri Oct 10 13:03:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
