"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for creating new booking - Post request","2395","createBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:54 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for creating new booking - Post request","2385","createBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:54 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","51","testCreateToken","Restful ECommerce Test Suite","Sun Aug 03 14:23:57 GMT 2025","passed","Sun Aug 03 14:23:57 GMT 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for checking json schema after updating a booking - Put request","33","testUpdateBookingJsonSchema","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for retrieving a booking - Get request","146","getBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for updating a booking partially- Patch request","43","updatePartialBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema after getting a booking - get request","63","testGetBookingJsonSchema","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for updating a booking - Put request","97","updateBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Printing numbers to words using SOAP API","506","testNumberToWordsAPI","SOAP API Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:57 GMT 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for updating a booking partially- Patch request","53","updatePartialBookingTest","Restful Booker Test Suite","Sun Aug 03 14:23:56 GMT 2025","passed","Sun Aug 03 14:23:56 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
