"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example Test for executing POST request using rest assured","43","testPostRequests","ReqRes Test Suite","2026-07-20","passed","2026-07-20","restful.ecommerce.TestPostRequests","Post Request tests","restful.ecommerce.TestPostRequests","testPostRequests"
"Example test for deleting a booking - Delete request","143","deleteBookingTest","Restful Booker Test Suite","2026-07-20","passed","2026-07-20","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for creating new booking - Post request","598","createBookingTest","Restful Booker Test Suite","2026-07-20","passed","2026-07-20","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example Test for performing Less than assertions using Hamcrest","532","testLessThanAssertions","Hamcrest Assertions Example Test Suite","2026-07-20","passed","2026-07-20","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testLessThanAssertions"
"Example Test for executing GET request using rest assured with query params","118","getRequestTestWithQueryParam","ReqRes Test Suite (0)","2026-07-20","passed","2026-07-20","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTestWithQueryParam"
"","27","testDeleteAllOrders","Restful ECommerce Test Suite","2026-07-20","passed","2026-07-20","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for creating new booking - Post request","593","createBookingTest","Restful Booker Test Suite","2026-07-20","passed","2026-07-20","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for updating a booking partially- Patch request","156","updatePartialBookingTest","Restful Booker Test Suite","2026-07-20","passed","2026-07-20","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","55","testCreateOrder","Restful ECommerce Test Suite","2026-07-20","passed","2026-07-20","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example Test for executing DELETE request using rest assured","28","deleteRequestTests","ReqRes Test Suite (0)","2026-07-20","passed","2026-07-20","restful.ecommerce.TestDeleteRequests","Delete Requests tests","restful.ecommerce.TestDeleteRequests","deleteRequestTests"
"Example Test for verifying the response headers using rest assured","44","responseHeadersTest","ReqRes Test Suite (0)","2026-07-20","passed","2026-07-20","restful.ecommerce.TestResponseHeaders","Test Response Headers","restful.ecommerce.TestResponseHeaders","responseHeadersTest"
"","40","testGetOrder","Restful ECommerce Test Suite","2026-07-20","passed","2026-07-20","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example Test for multiple assertions in single statement using Hamcrest","585","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-07-20","passed","2026-07-20","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example Test for extracting the response data using jsonpath","75","testResponseWithJsonPath","ReqRes Test Suite (0)","2026-07-20","passed","2026-07-20","restful.ecommerce.TestResponseBodyWithJsonPath","JsonPath usage tests","restful.ecommerce.TestResponseBodyWithJsonPath","testResponseWithJsonPath"
"","44","testGetAllOrders","Restful ECommerce Test Suite","2026-07-20","passed","2026-07-20","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for deleting a booking - Delete request","140","deleteBookingTest","Restful Booker Test Suite","2026-07-20","passed","2026-07-20","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","49","updatePartialOrderTest","Restful ECommerce Test Suite","2026-07-20","passed","2026-07-20","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example Test for executing GET request using rest assured","446","getRequestTest","ReqRes Test Suite (0)","2026-07-20","passed","2026-07-20","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTest"
