"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example Test for performing authentication using rest assured","2796","testAuthenticationToken","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestAuthentication","Authentication Tests","restful.ecommerce.TestAuthentication","testAuthenticationToken"
"Example Test for performing number related assertions using Hamcrest","681","testNumberAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testNumberAssertions"
"Printing numbers to words using SOAP API","416","testNumberToWordsAPI","SOAP API Test Suite","2026-09-21","passed","2026-09-21","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example Test for performing Not null assertions using Hamcrest","584","testNotNullAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotNullAssertions"
"Example Test for performing Greater than assertions using Hamcrest","615","testGreaterThanAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testGreaterThanAssertions"
"Example Test for extracting the response data using jsonpath","83","testResponseWithJsonPath","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestResponseBodyWithJsonPath","JsonPath usage tests","restful.ecommerce.TestResponseBodyWithJsonPath","testResponseWithJsonPath"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","55","checkBookingIsDeleted","Restful Booker Test Suite","2026-09-21","failed","2026-09-21","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","53","testCreateOrder","Restful ECommerce Test Suite","2026-09-21","passed","2026-09-21","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example Test for performing has key assertions using Hamcrest","557","testHasKeyAssertion","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testHasKeyAssertion"
"Example Test for verifying the response headers using rest assured","46","responseHeadersTest","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestResponseHeaders","Test Response Headers","restful.ecommerce.TestResponseHeaders","responseHeadersTest"
"Example Test for performing String related assertions using Hamcrest","697","testStringAssertions","Hamcrest Assertions Example Test Suite","2026-09-21","passed","2026-09-21","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testStringAssertions"
"","2","testUploadImage","Restful ECommerce Test Suite","2026-09-21","broken","2026-09-21","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for updating a booking partially- Patch request","74","updatePartialBookingTest","Restful Booker Test Suite","2026-09-21","failed","2026-09-21","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example Test for executing GET request using awaitility","5058","testDelayedPostAPI","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestDelayedAPIWithAwaitility","Awaitility Example tests","restful.ecommerce.TestDelayedAPIWithAwaitility","testDelayedPostAPI"
"Example Test for executing GET request using rest assured with query params","155","getRequestTestWithQueryParam","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTestWithQueryParam"
"","38","testCreateUser","Restful E-Commerce CRUD Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestPostWithRecords","Post Request tests","restful.ecommerce.TestPostWithRecords","testCreateUser"
"Example Test for executing GET request using rest assured specification","46","getRequestTestWithRestAssuredConfig","Restful E-Commerce Get Test Suite","2026-09-21","passed","2026-09-21","restful.ecommerce.TestGetRequestWithRestAssuredSpecs","Get Tests with Rest Assured Config","restful.ecommerce.TestGetRequestWithRestAssuredSpecs","getRequestTestWithRestAssuredConfig"
