"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","testCreateOrder","Restful ECommerce Test Suite","2026-09-15","passed","2026-09-15","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for updating a booking - Put request","186","updateBookingTest","Restful Booker Test Suite","2026-09-15","passed","2026-09-15","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example Test for performing authentication using rest assured","2937","testAuthenticationToken","Restful E-Commerce CRUD Test Suite","2026-09-15","passed","2026-09-15","restful.ecommerce.TestAuthentication","Authentication Tests","restful.ecommerce.TestAuthentication","testAuthenticationToken"
"Example Test for multiple assertions in single statement using Hamcrest","465","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-09-15","passed","2026-09-15","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example test for checking json schema after getting a booking - get request","35","testGetBookingJsonSchema","Restful Booker Test Suite","2026-09-15","passed","2026-09-15","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example Test for executing DELETE request using rest assured","32","deleteRequestTests","Restful E-Commerce Get Test Suite","2026-09-15","passed","2026-09-15","restful.ecommerce.TestDeleteRequests","Delete Requests tests","restful.ecommerce.TestDeleteRequests","deleteRequestTests"
"","46","updatePartialOrderTest","Restful ECommerce Test Suite","2026-09-15","passed","2026-09-15","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example Test for performing Less than assertions using Hamcrest","491","testLessThanAssertions","Hamcrest Assertions Example Test Suite","2026-09-15","passed","2026-09-15","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testLessThanAssertions"
"Example Test for performing has key assertions using Hamcrest","486","testHasKeyAssertion","Hamcrest Assertions Example Test Suite","2026-09-15","passed","2026-09-15","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testHasKeyAssertion"
"Example Test for performing Not null assertions using Hamcrest","432","testNotNullAssertions","Hamcrest Assertions Example Test Suite","2026-09-15","passed","2026-09-15","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotNullAssertions"
"Example test for deleting a booking - Delete request","27","deleteBookingTest","Restful Booker Test Suite","2026-09-15","passed","2026-09-15","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for creating new booking - Post request","174","createBookingTest","Restful Booker Test Suite","2026-09-15","passed","2026-09-15","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example Test for executing PUT request using rest assured","53","putRequestsTests","Restful E-Commerce CRUD Test Suite","2026-09-15","passed","2026-09-15","restful.ecommerce.TestPutRequests","Put Request Tests","restful.ecommerce.TestPutRequests","putRequestsTests"
"Example test for updating a booking partially- Patch request","46","updatePartialBookingTest","Restful Booker Test Suite","2026-09-15","passed","2026-09-15","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
