"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema after updating a booking partially - Patch request","38","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","22","testDeleteOrder","Restful ECommerce Test Suite","Mon Jul 07 15:35:14 GMT 2025","passed","Mon Jul 07 15:35:14 GMT 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Printing numbers to words using SOAP API","411","testNumberToWordsAPI","SOAP API Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","12","checkBookingIsDeleted","Restful Booker Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","156","testUploadImage","Restful ECommerce Test Suite","Mon Jul 07 15:35:14 GMT 2025","passed","Mon Jul 07 15:35:14 GMT 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"","30","updatePartialOrderTest","Restful ECommerce Test Suite","Mon Jul 07 15:35:14 GMT 2025","passed","Mon Jul 07 15:35:14 GMT 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking json schema after updating a booking - Put request","44","testUpdateBookingJsonSchema","Restful Booker Test Suite","Mon Jul 07 15:35:12 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"","11","testGetDeletedOrder","Restful ECommerce Test Suite","Mon Jul 07 15:35:14 GMT 2025","passed","Mon Jul 07 15:35:14 GMT 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for retrieving a booking - Get request","139","getBookingTest","Restful Booker Test Suite","Mon Jul 07 15:35:12 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","37","testGetOrder","Restful ECommerce Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"","39","testCreateToken","Restful ECommerce Test Suite","Mon Jul 07 15:35:14 GMT 2025","passed","Mon Jul 07 15:35:14 GMT 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","28","testGetAllOrders","Restful ECommerce Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for fetching token value - Post request","35","testTokenGeneration","Restful Booker Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for checking json schema for new booking - Post request","2246","testCreateBookingJsonSchema","Restful Booker Test Suite","Mon Jul 07 15:35:10 GMT 2025","passed","Mon Jul 07 15:35:12 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","26","testCreateJsonSchema","Restful Booker Test Suite","Mon Jul 07 15:35:13 GMT 2025","passed","Mon Jul 07 15:35:13 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
