"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for fetching token value - Post request","72","testTokenGeneration","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for checking json schema after updating a booking - Put request","64","testUpdateBookingJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for creating new booking - Post request","2418","createBookingTest","Restful Booker Test Suite","Tue Dec 16 12:30:08 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Printing numbers to words using SOAP API","635","testNumberToWordsAPI","SOAP API Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:12 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","24","testGetDeletedOrder","Restful ECommerce Test Suite","Tue Dec 16 12:30:12 UTC 2025","passed","Tue Dec 16 12:30:12 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"","66","testCreateOrder","Restful ECommerce Test Suite","Tue Dec 16 12:30:12 UTC 2025","passed","Tue Dec 16 12:30:12 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for checking json schema for token authentication - Post request","53","testCreateJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for deleting a booking - Delete request","37","deleteBookingTest","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for updating a booking - Put request","137","updateBookingTest","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for fetching token value - Post request","59","testTokenGeneration","Restful Booker Test Suite","Tue Dec 16 12:30:11 UTC 2025","passed","Tue Dec 16 12:30:11 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
