"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example Test for executing PATCH request using rest assured ","272","patchRequestTests","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPatchRequests","Patch Request tests","in.reqres.TestPatchRequests","patchRequestTests"
"Example Test for executing POST request using rest assured","278","testPostRequests","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPostRequests","Post Request tests","in.reqres.TestPostRequests","testPostRequests"
"Example test for creating new booking - Post request","235","createBookingTest","Restful Booker Test Suite","Sat Mar 15 09:52:30 GMT 2025","passed","Sat Mar 15 09:52:30 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","26","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example Test for performing Not null assertions using Hamcrest","188","testNotNullAssertions","Hamcrest Assertions Example Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:32 GMT 2025","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotNullAssertions"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","13","checkBookingIsDeleted","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for updating a booking partially- Patch request","44","updatePartialBookingTest","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example Test for executing PUT request using rest assured","250","putRequestsTests","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPutRequests","Put Request Tests","in.reqres.TestPutRequests","putRequestsTests"
"Example Test for executing DELETE request using rest assured","2282","deleteRequestTests","ReqRes Test Suite","Sat Mar 15 09:52:26 GMT 2025","passed","Sat Mar 15 09:52:28 GMT 2025","in.reqres.TestDeleteRequests","Delete Requests tests ","in.reqres.TestDeleteRequests","deleteRequestTests"
"Example Test for printing token by getting token after executing the post authentication request","261","testAuthToken","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestAuthentication","Authentication Tests","in.reqres.TestAuthentication","testAuthToken"
"Example Test for performing Not assertions using Hamcrest","224","testNotAssertions","Hamcrest Assertions Example Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:32 GMT 2025","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotAssertions"
"Printing numbers to words using SOAP API","336","testNumberToWordsAPI","SOAP API Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example Test for executing PATCH request using rest assured ","3159","patchRequestTests","ReqRes Test Suite","Sat Mar 15 09:52:26 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPatchRequests","Patch Request tests","in.reqres.TestPatchRequests","patchRequestTests"
"Example test for checking json schema after updating a booking - Put request","28","testUpdateBookingJsonSchema","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example Test for executing POST request using rest assured","209","testPostRequests","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPostRequests","Post Request tests","in.reqres.TestPostRequests","testPostRequests"
"Example test for checking json schema after getting a booking - get request","21","testGetBookingJsonSchema","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example Test for multiple assertions in single statement using Hamcrest","221","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","Sat Mar 15 09:52:32 GMT 2025","passed","Sat Mar 15 09:52:32 GMT 2025","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example Test for performing number related assertions using Hamcrest","184","testNumberAssertions","Hamcrest Assertions Example Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:32 GMT 2025","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testNumberAssertions"
"Example Test for extracting the response data using jsonpath","2590","testResponseWithJsonPath","ReqRes Test Suite","Sat Mar 15 09:52:26 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestResponseBodyWithJsonPath","JsonPath usage tests","in.reqres.TestResponseBodyWithJsonPath","testResponseWithJsonPath"
"Example Test for executing POST request using rest assured","220","testPostRequests","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:30 GMT 2025","in.reqres.TestPostRequests","Post Request tests","in.reqres.TestPostRequests","testPostRequests"
"Example of using Builder Pattern to pass test data in tests","541","postTestUsingBuilderPattern","ReqRes Test Suite","Sat Mar 15 09:52:30 GMT 2025","passed","Sat Mar 15 09:52:30 GMT 2025","in.reqres.PostRequestBuilderExample","Post Request tests","in.reqres.PostRequestBuilderExample","postTestUsingBuilderPattern"
"Example Test for verifying the response headers using rest assured","2447","responseHeadersTest","ReqRes Test Suite","Sat Mar 15 09:52:26 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestResponseHeaders","Test Response Headers","in.reqres.TestResponseHeaders","responseHeadersTest"
"Example Test for executing PUT request using rest assured","3156","putRequestsTests","ReqRes Test Suite","Sat Mar 15 09:52:26 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestPutRequests","Put Request Tests","in.reqres.TestPutRequests","putRequestsTests"
"Example test for updating a booking - Put request","102","updateBookingTest","Restful Booker Test Suite","Sat Mar 15 09:52:31 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for checking json schema for new booking - Post request","824","testCreateBookingJsonSchema","Restful Booker Test Suite","Sat Mar 15 09:52:30 GMT 2025","passed","Sat Mar 15 09:52:31 GMT 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example Test for executing GET request using rest assured with query params","141","getRequestTestWithQueryParam","ReqRes Test Suite","Sat Mar 15 09:52:29 GMT 2025","passed","Sat Mar 15 09:52:29 GMT 2025","in.reqres.TestGetRequests","Get Request Tests","in.reqres.TestGetRequests","getRequestTestWithQueryParam"
