"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for fetching token value - Post request","159","testTokenGeneration","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","140","testCreateToken","Restful ECommerce Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","38","testDeleteAllOrders","Restful ECommerce Test Suite","Tue Dec 16 12:26:26 UTC 2025","passed","Tue Dec 16 12:26:26 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","130","checkBookingIsDeleted","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","47","testCreateToken","Restful ECommerce Test Suite","Tue Dec 16 12:26:26 UTC 2025","passed","Tue Dec 16 12:26:26 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for creating new booking - Post request","2667","createBookingTest","Restful Booker Test Suite","Tue Dec 16 12:26:21 UTC 2025","passed","Tue Dec 16 12:26:23 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for deleting a booking - Delete request","129","deleteBookingTest","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","136","checkBookingIsDeleted","Restful Booker Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema after updating a booking - Put request","164","testUpdateBookingJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for creating new booking - Post request","2673","createBookingTest","Restful Booker Test Suite","Tue Dec 16 12:26:21 UTC 2025","passed","Tue Dec 16 12:26:23 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","42","testUpdateOrder","Restful ECommerce Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for checking json schema after getting a booking - get request","194","testGetBookingJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:26:23 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking json schema for new booking - Post request","2512","testCreateBookingJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:26:21 UTC 2025","passed","Tue Dec 16 12:26:23 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","41","updatePartialOrderTest","Restful ECommerce Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for updating a booking partially- Patch request","195","updatePartialBookingTest","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","23","testDeleteOrder","Restful ECommerce Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for fetching token value - Post request","176","testTokenGeneration","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Printing numbers to words using SOAP API","412","testNumberToWordsAPI","SOAP API Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for checking json schema after updating a booking partially - Patch request","162","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:24 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for deleting a booking - Delete request","135","deleteBookingTest","Restful Booker Test Suite","Tue Dec 16 12:26:24 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","33","testGetAllOrders","Restful ECommerce Test Suite","Tue Dec 16 12:26:25 UTC 2025","passed","Tue Dec 16 12:26:25 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
