"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for retrieving a booking - Get request","110","getBookingTest","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Printing numbers to words using SOAP API","590","testNumberToWordsAPI","SOAP API Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","43","testUpdateOrder","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for creating new booking - Post request","2339","createBookingTest","Restful Booker Test Suite","Mon May 18 17:54:15 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for retrieving a booking - Get request","148","getBookingTest","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","45","testGetOrder","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for updating a booking partially- Patch request","58","updatePartialBookingTest","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","129","testCreateToken","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example test for checking json schema for token authentication - Post request","75","testCreateJsonSchema","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","144","testUploadImage","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"","51","updatePartialOrderTest","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","25","checkBookingIsDeleted","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for updating a booking - Put request","115","updateBookingTest","Restful Booker Test Suite","Mon May 18 17:54:18 UTC 2026","passed","Mon May 18 17:54:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","32","testGetAllOrders","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"","21","testDeleteOrder","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"","81","testCreateOrder","Restful ECommerce Test Suite","Mon May 18 17:54:19 UTC 2026","passed","Mon May 18 17:54:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
