"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema after getting a booking - get request","93","testGetBookingJsonSchema","Restful Booker Test Suite","Wed Jan 28 13:15:14 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","50","testCreateJsonSchema","Restful Booker Test Suite","Wed Jan 28 13:15:14 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","59","checkBookingIsDeleted","Restful Booker Test Suite","Wed Jan 28 13:15:14 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema for new booking - Post request","2556","testCreateBookingJsonSchema","Restful Booker Test Suite","Wed Jan 28 13:15:11 UTC 2026","passed","Wed Jan 28 13:15:13 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example test for creating new booking - Post request","2738","createBookingTest","Restful Booker Test Suite","Wed Jan 28 13:15:11 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for creating new booking - Post request","2745","createBookingTest","Restful Booker Test Suite","Wed Jan 28 13:15:11 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","39","testUpdateOrder","Restful ECommerce Test Suite","Wed Jan 28 13:15:16 UTC 2026","passed","Wed Jan 28 13:15:16 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","23","testDeleteOrder","Restful ECommerce Test Suite","Wed Jan 28 13:15:16 UTC 2026","passed","Wed Jan 28 13:15:16 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking json schema after updating a booking partially - Patch request","81","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Wed Jan 28 13:15:14 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for updating a booking partially- Patch request","70","updatePartialBookingTest","Restful Booker Test Suite","Wed Jan 28 13:15:14 UTC 2026","passed","Wed Jan 28 13:15:14 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
