"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for updating a booking partially- Patch request","77","updatePartialBookingTest","Restful Booker Test Suite","Tue Jan 20 08:20:57 UTC 2026","passed","Tue Jan 20 08:20:57 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","40","checkBookingIsDeleted","Restful Booker Test Suite","Tue Jan 20 08:20:57 UTC 2026","passed","Tue Jan 20 08:20:57 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","23","testDeleteOrder","Restful ECommerce Test Suite","Tue Jan 20 08:20:58 UTC 2026","passed","Tue Jan 20 08:20:58 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"","79","testCreateOrder","Restful ECommerce Test Suite","Tue Jan 20 08:20:57 UTC 2026","passed","Tue Jan 20 08:20:57 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for checking json schema for new booking - Post request","2264","testCreateBookingJsonSchema","Restful Booker Test Suite","Tue Jan 20 08:20:54 UTC 2026","passed","Tue Jan 20 08:20:56 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","58","testGetOrder","Restful ECommerce Test Suite","Tue Jan 20 08:20:57 UTC 2026","passed","Tue Jan 20 08:20:58 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"","22","testDeleteAllOrders","Restful ECommerce Test Suite","Tue Jan 20 08:20:58 UTC 2026","passed","Tue Jan 20 08:20:58 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","45","updatePartialOrderTest","Restful ECommerce Test Suite","Tue Jan 20 08:20:58 UTC 2026","passed","Tue Jan 20 08:20:58 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for deleting a booking - Delete request","36","deleteBookingTest","Restful Booker Test Suite","Tue Jan 20 08:20:57 UTC 2026","passed","Tue Jan 20 08:20:57 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","32","testGetAllOrders","Restful ECommerce Test Suite","Tue Jan 20 08:20:58 UTC 2026","passed","Tue Jan 20 08:20:58 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
