"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Printing numbers to words using SOAP API","625","testNumberToWordsAPI","SOAP API Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","72","testCreateOrder","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","14","checkBookingIsDeleted","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for retrieving a booking - Get request","134","getBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:57 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for fetching token value - Post request","50","testTokenGeneration","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for creating new booking - Post request","2567","createBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:55 UTC 2025","passed","Mon Oct 27 13:31:57 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","165","testUploadImage","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"","49","updatePartialOrderTest","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking json schema after getting a booking - get request","87","testGetBookingJsonSchema","Restful Booker Test Suite","Mon Oct 27 13:31:57 UTC 2025","passed","Mon Oct 27 13:31:57 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking json schema after updating a booking - Put request","44","testUpdateBookingJsonSchema","Restful Booker Test Suite","Mon Oct 27 13:31:57 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for creating new booking - Post request","2554","createBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:55 UTC 2025","passed","Mon Oct 27 13:31:57 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","49","testCreateToken","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for checking json schema after updating a booking partially - Patch request","34","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for fetching token value - Post request","55","testTokenGeneration","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","11","testDeleteAllOrders","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","21","testDeleteOrder","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking json schema for token authentication - Post request","17","testCreateJsonSchema","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for deleting a booking - Delete request","19","deleteBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","37","testUpdateOrder","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","13","checkBookingIsDeleted","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for updating a booking - Put request","99","updateBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","28","testGetAllOrders","Restful ECommerce Test Suite","Mon Oct 27 13:31:59 UTC 2025","passed","Mon Oct 27 13:31:59 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for updating a booking partially- Patch request","57","updatePartialBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for updating a booking partially- Patch request","44","updatePartialBookingTest","Restful Booker Test Suite","Mon Oct 27 13:31:58 UTC 2025","passed","Mon Oct 27 13:31:58 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
