"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","testCreateToken","Restful ECommerce Test Suite","Tue Dec 23 07:14:11 UTC 2025","passed","Tue Dec 23 07:14:11 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for updating a booking partially- Patch request","51","updatePartialBookingTest","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for retrieving a booking - Get request","149","getBookingTest","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for deleting a booking - Delete request","27","deleteBookingTest","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","26","checkBookingIsDeleted","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","19","checkBookingIsDeleted","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema for token authentication - Post request","52","testCreateJsonSchema","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","41","testUpdateOrder","Restful ECommerce Test Suite","Tue Dec 23 07:14:11 UTC 2025","passed","Tue Dec 23 07:14:11 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","76","testCreateOrder","Restful ECommerce Test Suite","Tue Dec 23 07:14:11 UTC 2025","passed","Tue Dec 23 07:14:11 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for deleting a booking - Delete request","33","deleteBookingTest","Restful Booker Test Suite","Tue Dec 23 07:14:10 UTC 2025","passed","Tue Dec 23 07:14:10 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
