"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","2604","ReqRes Test Suite","Delete Requests tests ","in.reqres.TestDeleteRequests","in.reqres.TestDeleteRequests","deleteRequestTests","deleteRequestTests","Example Test for executing DELETE request using rest assured"
"passed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","83","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted","checkBookingIsDeleted","Example test for checking if booking is deleted by retrieving a deleted booking - Get request"
"failed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","61","Restful Booker Test Suite","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema","testUpdatePartialBookingJsonSchema","Example test for checking json schema after updating a booking partially - Patch request"
"failed","Wed Dec 21 14:07:37 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","2806","ReqRes Test Suite","JsonPath usage tests","in.reqres.TestResponseBodyWithJsonPath","in.reqres.TestResponseBodyWithJsonPath","testResponseWithJsonPath","testResponseWithJsonPath","Example Test for extracting the response data using jsonpath"
"failed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","3568","ReqRes Test Suite","Authentication Tests","in.reqres.TestAuthentication","in.reqres.TestAuthentication","testAuthenticationToken","testAuthenticationToken","Example Test for performing authentication using rest assured"
"passed","Wed Dec 21 14:07:37 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","2800","ReqRes Test Suite","Test Response Headers","in.reqres.TestResponseHeaders","in.reqres.TestResponseHeaders","responseHeadersTest","responseHeadersTest","Example Test for verifying the response headers using rest assured"
"failed","Wed Dec 21 14:07:40 GMT 2022","Wed Dec 21 14:07:41 GMT 2022","448","ReqRes Test Suite","Post Request tests","in.reqres.PostRequestBuilderExample","in.reqres.PostRequestBuilderExample","postTestUsingBuilderPattern","postTestUsingBuilderPattern","Example of using Builder Pattern to pass test data in tests"
"failed","Wed Dec 21 14:07:40 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","266","ReqRes Test Suite","Post Request tests","in.reqres.TestPostRequests","in.reqres.TestPostRequests","testPostRequests","testPostRequests","Example Test for executing POST request using rest assured"
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","70","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest","deleteBookingTest","Example test for deleting a booking - Delete request"
"failed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","84","Restful Booker Test Suite","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema","testUpdateBookingJsonSchema","Example test for checking json schema after updating a booking - Put request"
"failed","Wed Dec 21 14:07:39 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","357","ReqRes Test Suite","Patch Request tests","in.reqres.TestPatchRequests","in.reqres.TestPatchRequests","patchRequestTests","patchRequestTests","Example Test for executing PATCH request using rest assured "
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:41 GMT 2022","69","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest","updatePartialBookingTest","Example test for updating a booking partially- Patch request"
"failed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","3557","ReqRes Test Suite","Put Request Tests","in.reqres.TestPutRequests","in.reqres.TestPutRequests","putRequestsTests","putRequestsTests","Example Test for executing PUT request using rest assured"
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:41 GMT 2022","171","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","createBookingTest","createBookingTest","Example test for creating new booking - Post request"
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:41 GMT 2022","78","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest","updateBookingTest","Example test for updating a booking - Put request"
"passed","Wed Dec 21 14:07:37 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","2804","ReqRes Test Suite","Get Tests with Rest Assured Config","in.reqres.TestGetRequestWithRestAssuredConfig","in.reqres.TestGetRequestWithRestAssuredConfig","getRequestTestWithRestAssuredConfig","getRequestTestWithRestAssuredConfig","Example Test for executing GET request using rest assured configuration"
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","808","Restful Booker Test Suite","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema","testCreateBookingJsonSchema","Example test for checking json schema for new booking - Post request"
"failed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","3563","ReqRes Test Suite","Patch Request tests","in.reqres.TestPatchRequests","in.reqres.TestPatchRequests","patchRequestTests","patchRequestTests","Example Test for executing PATCH request using rest assured "
"failed","Wed Dec 21 14:07:40 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","259","ReqRes Test Suite","Post Request tests","in.reqres.TestPostRequests","in.reqres.TestPostRequests","testPostRequests","testPostRequests","Example Test for executing POST request using rest assured"
"failed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:39 GMT 2022","3562","ReqRes Test Suite","Post Request tests","in.reqres.TestPostRequests","in.reqres.TestPostRequests","testPostRequests","testPostRequests","Example Test for executing POST request using rest assured"
"passed","Wed Dec 21 14:07:36 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","3739","ReqRes Test Suite","Get Request Tests","in.reqres.TestGetRequests","in.reqres.TestGetRequests","getRequestTest","getRequestTest","Example Test for executing GET request using rest assured"
"passed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","72","Restful Booker Test Suite","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema","testCreateJsonSchema","Example test for checking json schema for token authentication - Post request"
"failed","Wed Dec 21 14:07:39 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","355","ReqRes Test Suite","Post Request tests","in.reqres.TestPostRequests","in.reqres.TestPostRequests","testPostRequests","testPostRequests","Example Test for executing POST request using rest assured"
"failed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","261","SOAP API Test Suite","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","soapapitests.NumberToWordsTest","testNumberToWordsAPI","testNumberToWordsAPI","Printing numbers to words using SOAP API"
"failed","Wed Dec 21 14:07:40 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","293","ReqRes Test Suite","Get Request Tests","in.reqres.TestGetRequests","in.reqres.TestGetRequests","getRequestTestWithQueryParam","getRequestTestWithQueryParam","Example Test for executing GET request using rest assured with query params"
"failed","Wed Dec 21 14:07:42 GMT 2022","Wed Dec 21 14:07:42 GMT 2022","60","Restful Booker Test Suite","Restful Booker JSON Schema Validation tests","com.restfulbooker.JsonSchemaValidationTest","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema","testGetBookingJsonSchema","Example test for checking json schema after getting a booking - get request"
"failed","Wed Dec 21 14:07:41 GMT 2022","Wed Dec 21 14:07:41 GMT 2022","101","Restful Booker Test Suite","Restful Booker tests","com.restfulbooker.RestfulBookerE2ETests","com.restfulbooker.RestfulBookerE2ETests","getBookingTest","getBookingTest","Example test for retrieving a booking - Get request"
"failed","Wed Dec 21 14:07:39 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","347","ReqRes Test Suite","Put Request Tests","in.reqres.TestPutRequests","in.reqres.TestPutRequests","putRequestsTests","putRequestsTests","Example Test for executing PUT request using rest assured"
"failed","Wed Dec 21 14:07:40 GMT 2022","Wed Dec 21 14:07:40 GMT 2022","320","ReqRes Test Suite","Authentication Tests","in.reqres.TestAuthentication","in.reqres.TestAuthentication","testAuthToken","testAuthToken","Example Test for printing token by getting token after executing the post authentication request"
