"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for retrieving a booking - Get request","210","getBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","128","testUploadImage","Restful ECommerce Test Suite","Mon Aug 18 15:22:17 UTC 2025","passed","Mon Aug 18 15:22:17 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","15","checkBookingIsDeleted","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for updating a booking - Put request","90","updateBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","93","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Printing numbers to words using SOAP API","1107","testNumberToWordsAPI","SOAP API Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:16 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for updating a booking partially- Patch request","44","updatePartialBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for deleting a booking - Delete request","15","deleteBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for updating a booking - Put request","118","updateBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:15 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for creating new booking - Post request","2775","createBookingTest","Restful Booker Test Suite","Mon Aug 18 15:22:12 UTC 2025","passed","Mon Aug 18 15:22:15 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","10","testDeleteAllOrders","Restful ECommerce Test Suite","Mon Aug 18 15:22:17 UTC 2025","passed","Mon Aug 18 15:22:17 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
