"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for retrieving a booking - Get request","153","getBookingTest","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","21","checkBookingIsDeleted","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","25","checkBookingIsDeleted","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for fetching token value - Post request","60","testTokenGeneration","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for checking json schema after updating a booking - Put request","70","testUpdateBookingJsonSchema","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Printing numbers to words using SOAP API","1229","testNumberToWordsAPI","SOAP API Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","41","updatePartialOrderTest","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking json schema after getting a booking - get request","90","testGetBookingJsonSchema","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"","119","testCreateToken","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example test for creating new booking - Post request","3079","createBookingTest","Restful Booker Test Suite","Thu Dec 18 20:39:13 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","55","testCreateToken","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","21","testGetDeletedOrder","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for checking json schema for token authentication - Post request","42","testCreateJsonSchema","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for checking json schema after updating a booking partially - Patch request","69","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for updating a booking partially- Patch request","60","updatePartialBookingTest","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema for new booking - Post request","2920","testCreateBookingJsonSchema","Restful Booker Test Suite","Thu Dec 18 20:39:13 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","72","testCreateOrder","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","21","testDeleteAllOrders","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for updating a booking - Put request","131","updateBookingTest","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for deleting a booking - Delete request","31","deleteBookingTest","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for fetching token value - Post request","52","testTokenGeneration","Restful Booker Test Suite","Thu Dec 18 20:39:16 UTC 2025","passed","Thu Dec 18 20:39:16 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","207","testUploadImage","Restful ECommerce Test Suite","Thu Dec 18 20:39:18 UTC 2025","passed","Thu Dec 18 20:39:18 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
