"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","205","testUploadImage","Restful ECommerce Test Suite","Wed Dec 31 05:39:21 UTC 2025","passed","Wed Dec 31 05:39:21 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"","70","testCreateOrder","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"Example test for updating a booking - Put request","139","updateBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for deleting a booking - Delete request","31","deleteBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking json schema after updating a booking - Put request","67","testUpdateBookingJsonSchema","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","46","testCreateJsonSchema","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","129","testCreateToken","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example test for updating a booking partially- Patch request","65","updatePartialBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for retrieving a booking - Get request","198","getBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","32","testDeleteOrder","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:21 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","29","checkBookingIsDeleted","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","24","testGetDeletedOrder","Restful ECommerce Test Suite","Wed Dec 31 05:39:21 UTC 2025","passed","Wed Dec 31 05:39:21 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"","83","testCreateToken","Restful ECommerce Test Suite","Wed Dec 31 05:39:21 UTC 2025","passed","Wed Dec 31 05:39:21 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for updating a booking - Put request","137","updateBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","47","testGetOrder","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","28","checkBookingIsDeleted","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema after getting a booking - get request","98","testGetBookingJsonSchema","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for deleting a booking - Delete request","30","deleteBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","65","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","45","updatePartialOrderTest","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"","34","testGetAllOrders","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"","42","testUpdateOrder","Restful ECommerce Test Suite","Wed Dec 31 05:39:20 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for fetching token value - Post request","66","testTokenGeneration","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for retrieving a booking - Get request","141","getBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for creating new booking - Post request","2608","createBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:16 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Printing numbers to words using SOAP API","620","testNumberToWordsAPI","SOAP API Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:20 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for fetching token value - Post request","89","testTokenGeneration","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for creating new booking - Post request","2605","createBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:16 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for updating a booking partially- Patch request","55","updatePartialBookingTest","Restful Booker Test Suite","Wed Dec 31 05:39:19 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema for new booking - Post request","2412","testCreateBookingJsonSchema","Restful Booker Test Suite","Wed Dec 31 05:39:16 UTC 2025","passed","Wed Dec 31 05:39:19 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","26","testDeleteAllOrders","Restful ECommerce Test Suite","Wed Dec 31 05:39:21 UTC 2025","passed","Wed Dec 31 05:39:21 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
