"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example Test for performing Less than assertions using Hamcrest","558","testLessThanAssertions","Hamcrest Assertions Example Test Suite","2026-07-13","passed","2026-07-13","assertionexamples.NumberRelatedAssertionTests","Number related assertion examples","assertionexamples.NumberRelatedAssertionTests","testLessThanAssertions"
"","28","testGetDeletedOrder","Restful ECommerce Test Suite","2026-07-13","passed","2026-07-13","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example Test for executing PATCH request using rest assured ","62","patchRequestTests","ReqRes Test Suite","2026-07-13","passed","2026-07-13","restful.ecommerce.TestPatchRequests","Patch Request tests","restful.ecommerce.TestPatchRequests","patchRequestTests"
"","33","testDeleteAllOrders","Restful ECommerce Test Suite","2026-07-13","passed","2026-07-13","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example Test for executing POST request using rest assured","33","testPostRequests","ReqRes Test Suite","2026-07-13","passed","2026-07-13","restful.ecommerce.TestPostRequests","Post Request tests","restful.ecommerce.TestPostRequests","testPostRequests"
"","76","testCreateToken","Restful ECommerce Test Suite","2026-07-13","passed","2026-07-13","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example Test for performing Not assertions using Hamcrest","631","testNotAssertions","Hamcrest Assertions Example Test Suite","2026-07-13","passed","2026-07-13","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotAssertions"
"Example Test for executing PUT request using rest assured","62","putRequestsTests","ReqRes Test Suite","2026-07-13","passed","2026-07-13","restful.ecommerce.TestPutRequests","Put Request Tests","restful.ecommerce.TestPutRequests","putRequestsTests"
"Example Test for executing GET request using rest assured","385","getRequestTest","ReqRes Test Suite (0)","2026-07-13","passed","2026-07-13","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTest"
"","58","testCreateToken","Restful ECommerce Test Suite","2026-07-13","passed","2026-07-13","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example Test for multiple assertions in single statement using Hamcrest","532","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-07-13","passed","2026-07-13","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example test for checking json schema after updating a booking partially - Patch request","330","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","2026-07-13","passed","2026-07-13","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","35","testCreateUser","ReqRes Test Suite","2026-07-13","passed","2026-07-13","restful.ecommerce.TestPostWithRecords","Post Request tests","restful.ecommerce.TestPostWithRecords","testCreateUser"
