"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","53","checkBookingIsDeleted","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for checking json schema for token authentication - Post request","61","testCreateJsonSchema","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","39","updatePartialOrderTest","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","22","checkBookingIsDeleted","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for updating a booking partially- Patch request","57","updatePartialBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","170","testUploadImage","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for retrieving a booking - Get request","222","getBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for updating a booking - Put request","109","updateBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","70","testCreateOrder","Restful ECommerce Test Suite","Tue May 26 13:16:48 UTC 2026","passed","Tue May 26 13:16:48 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","36","testUpdateOrder","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","30","testGetAllOrders","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for deleting a booking - Delete request","45","deleteBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for checking json schema after getting a booking - get request","125","testGetBookingJsonSchema","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for creating new booking - Post request","2449","createBookingTest","Restful Booker Test Suite","Tue May 26 13:16:44 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for checking json schema after updating a booking - Put request","93","testUpdateBookingJsonSchema","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for updating a booking - Put request","144","updateBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","23","testDeleteOrder","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for creating new booking - Post request","2423","createBookingTest","Restful Booker Test Suite","Tue May 26 13:16:44 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Printing numbers to words using SOAP API","838","testNumberToWordsAPI","SOAP API Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:48 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"","23","testDeleteAllOrders","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","52","testCreateToken","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","45","testGetOrder","Restful ECommerce Test Suite","Tue May 26 13:16:48 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for deleting a booking - Delete request","31","deleteBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for fetching token value - Post request","50","testTokenGeneration","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for retrieving a booking - Get request","268","getBookingTest","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking json schema for new booking - Post request","2239","testCreateBookingJsonSchema","Restful Booker Test Suite","Tue May 26 13:16:44 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","125","testCreateToken","Restful ECommerce Test Suite","Tue May 26 13:16:48 UTC 2026","passed","Tue May 26 13:16:48 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","18","testGetDeletedOrder","Restful ECommerce Test Suite","Tue May 26 13:16:49 UTC 2026","passed","Tue May 26 13:16:49 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for checking json schema after updating a booking partially - Patch request","54","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for fetching token value - Post request","104","testTokenGeneration","Restful Booker Test Suite","Tue May 26 13:16:47 UTC 2026","passed","Tue May 26 13:16:47 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
