"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","testDeleteOrder","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for deleting a booking - Delete request","30","deleteBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for fetching token value - Post request","67","testTokenGeneration","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for updating a booking partially- Patch request","59","updatePartialBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking json schema after updating a booking - Put request","61","testUpdateBookingJsonSchema","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","44","testCreateJsonSchema","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"Example test for checking json schema after getting a booking - get request","111","testGetBookingJsonSchema","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","28","checkBookingIsDeleted","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","51","testGetOrder","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"","42","testGetAllOrders","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","28","checkBookingIsDeleted","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for retrieving a booking - Get request","187","getBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","49","testUpdateOrder","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for updating a booking - Put request","164","updateBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for fetching token value - Post request","85","testTokenGeneration","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for creating new booking - Post request","2404","createBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:46 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for deleting a booking - Delete request","38","deleteBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for retrieving a booking - Get request","162","getBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","26","testGetDeletedOrder","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"Example test for checking json schema for new booking - Post request","2203","testCreateBookingJsonSchema","Restful Booker Test Suite","Mon Mar 16 10:04:46 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example test for creating new booking - Post request","2407","createBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:46 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for checking json schema after updating a booking partially - Patch request","45","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Mon Mar 16 10:04:48 UTC 2026","passed","Mon Mar 16 10:04:48 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"","53","updatePartialOrderTest","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"","78","testCreateOrder","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","65","testCreateToken","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","166","testUploadImage","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"","24","testDeleteAllOrders","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for updating a booking - Put request","158","updateBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Printing numbers to words using SOAP API","689","testNumberToWordsAPI","SOAP API Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for updating a booking partially- Patch request","65","updatePartialBookingTest","Restful Booker Test Suite","Mon Mar 16 10:04:49 UTC 2026","passed","Mon Mar 16 10:04:49 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"","157","testCreateToken","Restful ECommerce Test Suite","Mon Mar 16 10:04:50 UTC 2026","passed","Mon Mar 16 10:04:50 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
