"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema for new booking - Post request","2430","testCreateBookingJsonSchema","Restful Booker Test Suite","Sat Apr 04 11:12:15 UTC 2026","passed","Sat Apr 04 11:12:17 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"","22","testGetDeletedOrder","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"","23","testDeleteOrder","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for retrieving a booking - Get request","246","getBookingTest","Restful Booker Test Suite","Sat Apr 04 11:12:17 UTC 2026","passed","Sat Apr 04 11:12:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","57","testUpdateOrder","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"Example test for checking json schema after updating a booking - Put request","134","testUpdateBookingJsonSchema","Restful Booker Test Suite","Sat Apr 04 11:12:18 UTC 2026","passed","Sat Apr 04 11:12:18 UTC 2026","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for updating a booking - Put request","164","updateBookingTest","Restful Booker Test Suite","Sat Apr 04 11:12:18 UTC 2026","passed","Sat Apr 04 11:12:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Example test for fetching token value - Post request","110","testTokenGeneration","Restful Booker Test Suite","Sat Apr 04 11:12:18 UTC 2026","passed","Sat Apr 04 11:12:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","42","updatePartialOrderTest","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for fetching token value - Post request","105","testTokenGeneration","Restful Booker Test Suite","Sat Apr 04 11:12:18 UTC 2026","passed","Sat Apr 04 11:12:18 UTC 2026","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","26","testDeleteAllOrders","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"","54","testCreateToken","Restful ECommerce Test Suite","Sat Apr 04 11:12:19 UTC 2026","passed","Sat Apr 04 11:12:19 UTC 2026","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
