"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema for new booking - Post request","980","testCreateBookingJsonSchema","Restful Booker Test Suite","2026-08-24","passed","2026-08-24","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Testing Delete All order EndPoint","25","deleteAllOrderTests","ReqRes Test Suite (0)","2026-08-24","passed","2026-08-24","restful.ecommerce.TestDeleteRequests","Delete Requests tests","restful.ecommerce.TestDeleteRequests","deleteAllOrderTests"
"Example Test for multiple assertions in single statement using Hamcrest","517","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-08-24","passed","2026-08-24","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example test for fetching token value - Post request","78","testTokenGeneration","Restful Booker Test Suite","2026-08-24","passed","2026-08-24","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for deleting a booking - Delete request","34","deleteBookingTest","Restful Booker Test Suite","2026-08-24","passed","2026-08-24","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"","105","testCreateToken","Restful ECommerce Test Suite","2026-08-24","passed","2026-08-24","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"Example Test for performing Not assertions using Hamcrest","504","testNotAssertions","Hamcrest Assertions Example Test Suite","2026-08-24","passed","2026-08-24","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotAssertions"
"Example Test for executing GET request using awaitility","5148","testDelayedPostAPI","ReqRes Test Suite (0)","2026-08-24","passed","2026-08-24","restful.ecommerce.TestDelayedAPIWithAwaitility","Awaitility Example tests","restful.ecommerce.TestDelayedAPIWithAwaitility","testDelayedPostAPI"
"Example test for creating new booking - Post request","126","createBookingTest","Restful Booker Test Suite","2026-08-24","passed","2026-08-24","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example Test for executing POST request using rest assured","28","testPostRequests","ReqRes Test Suite","2026-08-24","passed","2026-08-24","restful.ecommerce.TestPostRequests","Post Request tests","restful.ecommerce.TestPostRequests","testPostRequests"
