"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example Test for multiple assertions in single statement using Hamcrest","609","testMultipleAssertStatement","Hamcrest Assertions Example Test Suite","2026-06-29","passed","2026-06-29","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testMultipleAssertStatement"
"Example Test for performing authentication using rest assured","3200","testAuthenticationToken","ReqRes Test Suite","2026-06-29","passed","2026-06-29","restful.ecommerce.TestAuthentication","Authentication Tests","restful.ecommerce.TestAuthentication","testAuthenticationToken"
"Example test for updating a booking - Put request","138","updateBookingTest","Restful Booker Test Suite","2026-06-29","passed","2026-06-29","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","75","testCreateOrder","Restful ECommerce Test Suite","2026-06-29","passed","2026-06-29","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","42","testCreateUser","ReqRes Test Suite","2026-06-29","passed","2026-06-29","restful.ecommerce.TestPostWithRecords","Post Request tests","restful.ecommerce.TestPostWithRecords","testCreateUser"
"Example Test for performing Not assertions using Hamcrest","584","testNotAssertions","Hamcrest Assertions Example Test Suite","2026-06-29","passed","2026-06-29","assertionexamples.StringRelatedAssertionTests","String related assertion examples","assertionexamples.StringRelatedAssertionTests","testNotAssertions"
"Example Test for executing GET request using rest assured with query params","120","getRequestTestWithQueryParam","ReqRes Test Suite (0)","2026-06-29","passed","2026-06-29","restful.ecommerce.TestGetRequests","Get Request Tests","restful.ecommerce.TestGetRequests","getRequestTestWithQueryParam"
"Example Test for executing GET request using rest assured specification","55","getRequestTestWithRestAssuredConfig","ReqRes Test Suite (0)","2026-06-29","passed","2026-06-29","restful.ecommerce.TestGetRequestWithRestAssuredSpecs","Get Tests with Rest Assured Config","restful.ecommerce.TestGetRequestWithRestAssuredSpecs","getRequestTestWithRestAssuredConfig"
"","44","testGetAllOrders","Restful ECommerce Test Suite","2026-06-29","passed","2026-06-29","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"Example test for fetching token value - Post request","138","testTokenGeneration","Restful Booker Test Suite","2026-06-29","passed","2026-06-29","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for retrieving a booking - Get request","164","getBookingTest","Restful Booker Test Suite","2026-06-29","passed","2026-06-29","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","61","testCreateToken","Restful ECommerce Test Suite","2026-06-29","passed","2026-06-29","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"","65","updatePartialOrderTest","Restful ECommerce Test Suite","2026-06-29","passed","2026-06-29","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for checking json schema for new booking - Post request","723","testCreateBookingJsonSchema","Restful Booker Test Suite","2026-06-29","passed","2026-06-29","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
